"parameter","perturbation_pct","arm","V_peak","V_AUC","K_peak","L_peak","C_pro_max","mortality_prob","S_V_peak","S_V_AUC","S_K_peak","S_L_peak","S_C_pro_max","S_mortality"
"delta_CD8",10,"placebo",34147071.4800262,387540095.925027,52.8628326425562,182.70269023905,0.376031058689217,0.0956812712677552,-0.0103884173393544,-0.137112259718951,-0.034153067287749,-0.0380593953873077,-0.00920756557847249,-0.0162404758624654
"k_CC",10,"placebo",34182581.7742649,392927615.394988,53.0439941599834,183.400702248174,0.376377661672466,0.0958369150022738,5.03109427481698e-10,3.73335343265193e-09,1.3717679771925e-09,1.36870308063596e-09,1.35050112754224e-06,2.51207919259962e-09
"K_CC",10,"placebo",34182581.7751166,392927615.488433,53.0439941639906,183.400702262039,0.376377522714443,0.095836914972853,7.5226217525273e-10,6.11152538600244e-09,2.12722003338957e-09,2.12474555146961e-09,-2.3414831819023e-06,-5.57802505591195e-10
"d_C",10,"placebo",34182581.7459902,392927615.193933,53.0439885346484,183.400688061916,0.342356741236553,0.0958290677405785,-7.76855080912832e-09,-1.38350117662299e-09,-1.05913188504062e-06,-7.72142949595241e-07,-0.90390258681725,-0.000818811584467028
"k_CD8_I",10,"placebo",34099994.5771625,378618647.377411,52.6583125147736,181.929848320093,0.375531770180388,0.0954736366923959,-0.0241606078593476,-0.364162947973026,-0.0727097655623425,-0.0801989242761675,-0.0224731928221113,-0.037905882705594
"k_neut_IgG",10,"placebo",34181605.9318205,392893866.275229,53.0415556531525,183.39180718617,0.376377592646615,0.0958353190207733,-0.000285478941034369,-0.000858910693874972,-0.000459712658044146,-0.000485005607571065,-4.83450968024404e-07,-0.000166528464096538
"k_KP",10,"placebo",34182581.7725451,392927615.248294,58.328985302369,183.400702223071,0.376377610842627,0.0982248551133852,0,0,0.996341100266164,0,0,0.24916704964153
"k_LP",10,"placebo",34182581.7730516,392927615.270469,53.0439941532161,192.579049973963,0.376377610851218,0.0960323323783931,1.48161194916725e-10,5.643521491956e-10,9.59749859431382e-11,0.50045325015866,2.28244931720587e-10,0.0203906188172551
"d_K",10,"placebo",34182581.7725451,392927615.248294,48.4963254537269,183.400702223071,0.376377610842627,0.0934916391846555,0,0,-0.857339039343069,0,0,-0.244715284718509
"d_L",10,"placebo",34182581.7726526,392927615.255089,53.0439941514655,168.218077434513,0.376377610845089,0.095478545901712,3.14369829243682e-11,1.72923236176135e-10,-2.34046191016595e-10,-0.827838967055422,6.5409417963079e-11,-0.0373936365301817
"EC50_RBV",10,"placebo",34182581.7725451,392927615.248294,53.043994152707,183.400702223071,0.376377610842627,0.0958369149781989,0,0,0,0,0,0
"Emax_RBV",10,"placebo",34182581.7725451,392927615.248294,53.043994152707,183.400702223071,0.376377610842627,0.0958369149781989,0,0,0,0,0,0
"CL_RBV",10,"placebo",34182581.7725451,392927615.248294,53.043994152707,183.400702223071,0.376377610842627,0.0958369149781989,0,0,0,0,0,0
"beta",25,"placebo",34052093.5094994,389876428.268538,52.7464924545184,182.444546515534,0.375551127935495,0.0958476552114589,-0.015269562014253,-0.0310610592012343,-0.0224343360971007,-0.0208539159544675,-0.00878355017220326,0.000448271243392531
"p",25,"placebo",42563585.7779381,489045738.028757,65.887971572557,228.066749403682,0.375537871743969,0.102149031359421,0.980733879162337,0.978481725899812,0.968552811681094,0.974173962022965,-0.00892443200092216,0.263452402768121
"c",25,"placebo",27465474.1275265,312831717.634253,42.6956453710214,147.453941511199,0.376039847040415,0.0889975531568325,-0.786026952523956,-0.815375601060035,-0.780359695530769,-0.784004865328162,-0.00358962693297354,-0.2854583465222
"delta_natural",25,"placebo",33723409.6704562,367503098.329627,51.5253177218154,177.84160602988,0.371647888171645,0.0947629055808973,-0.0537317052461771,-0.258821380142516,-0.114522026868456,-0.12124481805811,-0.0502657175637313,-0.044826542989028
"delta_NK",25,"placebo",34182561.1456859,392926091.727028,53.0439112958493,183.400392583241,0.376377407259656,0.0958368562036677,-2.41372748346392e-06,-1.550943438148e-05,-6.24816129088158e-06,-6.7532965068544e-06,-2.16360341912508e-06,-2.45310613891914e-06
"delta_CD8",25,"placebo",34093892.3634179,379729964.377483,52.5931541600477,181.690323138247,0.37551198327168,0.0954492171404093,-0.0103783160344502,-0.134351980961906,-0.0339974392849382,-0.0373036540011433,-0.0091995649689067,-0.0161815658560273
"k_CC",25,"placebo",34182581.7719776,392927615.230078,53.0439941504833,183.400702215293,0.376377737840985,0.0958369150018977,-6.6409345887794e-11,-1.85445551318326e-10,-1.67686175194399e-10,-1.69656189565847e-10,1.34969088967079e-06,9.89131200186886e-10
"K_CC",25,"placebo",34182581.7814998,392927615.756855,53.0439941845634,183.400702333527,0.376377428082786,0.0958369149672663,1.0478578722964e-09,5.17713920358938e-09,2.40225947062132e-09,2.40904896093017e-09,-1.94230300157819e-06,-4.56298511486944e-10
"d_C",25,"placebo",34182581.7672827,392927615.597507,53.0439818396378,183.400671214323,0.301420874863722,0.0958196341793333,-6.1580478838639e-10,3.55497771803279e-09,-9.28517499686622e-07,-6.76305998869696e-07,-0.796612060011683,-0.00072125856177581
"k_CD8_I",25,"placebo",33975881.5680177,358379130.972477,52.0949247966877,179.788529840474,0.374253215725445,0.0949248933848827,-0.024187781473365,-0.351703295315456,-0.0715684684895377,-0.0787820840119473,-0.0225772740565069,-0.0380655655922814
"k_neut_IgG",25,"placebo",34180142.2686532,392843258.75793,53.0378983524779,183.378466373941,0.37637756525242,0.0958329252626022,-0.000285467482614389,-0.000858748401397484,-0.000459678825207812,-0.000484967589792043,-4.8451561665959e-07,-0.000166521036181304
"k_KP",25,"placebo",34182581.7725451,392927615.248294,66.256472026862,183.400702223071,0.376377610842627,0.101293535508165,0,0,0.996341100266164,0,0,0.227746084322842
"k_LP",25,"placebo",34182581.7737938,392927615.294764,53.0439941539068,206.346571600338,0.376377610863076,0.0963023290425423,1.46111895093839e-10,4.73061665475535e-10,9.04748562496015e-11,0.500453250159467,2.17320501432361e-10,0.0194252523445404
"d_K",25,"placebo",34182581.7725451,392927615.248294,42.9448932130188,183.400702223071,0.376377610842627,0.0902109916475542,0,0,-0.76156413942843,0,0,-0.234812371910112
"d_L",25,"placebo",34182581.7733423,392927615.216858,53.0439941516396,149.534687335052,0.376377610856111,0.094973849590541,9.32791060416068e-11,-3.20022743211799e-10,-8.04953223438905e-11,-0.738623450783253,1.43298673826368e-10,-0.0360222525048608
"EC50_RBV",25,"placebo",34182581.7725451,392927615.248294,53.043994152707,183.400702223071,0.376377610842627,0.0958369149781989,0,0,0,0,0,0
"Emax_RBV",25,"placebo",34182581.7725451,392927615.248294,53.043994152707,183.400702223071,0.376377610842627,0.0958369149781989,0,0,0,0,0,0
"CL_RBV",25,"placebo",34182581.7725451,392927615.248294,53.043994152707,183.400702223071,0.376377610842627,0.0958369149781989,0,0,0,0,0,0
"beta",50,"placebo",33906846.9105271,378056136.209872,52.5027511548657,181.647384442031,0.374505010726751,0.0958018507573232,-0.0161330623797104,-0.075695769201788,-0.0204073243912632,-0.0191200770748158,-0.0099506456384774,-0.000731747696252558
"p",50,"placebo",50860552.8054226,573866209.100017,78.6618300561527,272.494352245887,0.374461896433988,0.106833903109096,0.975816931784415,0.920976723600278,0.965909008650261,0.971573706565749,-0.0101797469001959,0.229493783964113
"c",50,"placebo",22873211.2692511,257378376.470976,35.7222995358644,123.248461064127,0.375040009508508,0.0829486913405749,-0.661703705035969,-0.689945086662661,-0.653106723712231,-0.655965221831926,-0.00710776250013881,-0.268961571656511
"delta_natural",50,"placebo",33286770.47959,344391273.81492,50.1167469699408,172.68418132058,0.367046102495523,0.0937120845594533,-0.0524133196793629,-0.247049784997695,-0.110370541642812,-0.116864556924728,-0.0495858843793221,-0.0443426297524064
