"trial","k_CC","K_CC","k_KP","k_LP","k_PV","k_PC","K50","C50","w_K_HFRS","w_C_HFRS","k_P_CD8","k_CI","K_peak","L_peak","C_pro_peak","V_peak","P_peak","CD8_E_peak","mortality_prob","dialysis_prob","ecmo_prob","mortality_error"
61,0.788790971917346,210.900642796172,0.0832429005726747,0.355698646420964,0.549678485936221,1.01145162833278,8.45571352643831,103.347477444003,0.109805364366138,0.0672460246894801,0.00485540844445052,8.82614043410594,0.168604131988882,0.0193911457942151,0.000207635983902299,4284.58086453359,0.0394400248907346,1.22692541404508,0.00174619033911885,0.0195498517873042,0.000193873863578608,0.0922538096608811
85,0.860369950366173,324.227378983821,0.2366990267452,0.683032520309281,0.32590018906688,0.102574444070573,4.79628409262722,314.411803139768,0.0610106707426083,0.0343247799589415,0.0227297792341622,1.22429515542926,0.182836662150736,0.0608424678087247,2.89313865790135e-05,4284.58086453359,0.0544103213861179,1.22692541404508,0.00172830000678787,0.0367206724149612,0.000608054722588396,0.0922716999932121
75,3.37348978720843,319.767235405393,0.140080368710395,0.460544006967286,1.49958428701391,0.196430248095773,8.79543217154467,393.07784833825,0.100619160642456,0.0230431231912851,0.0159232791801837,3.98638872796071,0.174399539119319,0.0703892517042454,9.38628346302423e-05,4284.58086453359,0.110161553632557,1.22692541685136,0.00162072464604921,0.0194428997939817,0.000703397400875471,0.0923792753539508
7,0.82291583510305,150.788620667805,0.103569818598001,1.15498354669769,0.205140961814483,0.1997687047622,12.7540956568535,30.1328517160675,0.141757447975571,0.0274920247762227,0.00407359944084508,3.45904685058717,0.168522919967134,0.0277509574732758,8.14660527154898e-05,4284.58086453359,0.0169353784180554,1.22692541404508,0.00160757118571123,0.0130409265711374,0.000277432584534207,0.0923924288142888
83,1.47994815167238,86.1706988307684,1.31841858211234,0.153478496460123,0.475895036348353,1.29634589226297,24.7823770736038,39.4900108624133,0.215578029307948,0.112765560776825,0.00158141821988808,0.75461917050844,0.174368731109444,0.00665531919148553,1.78902175874599e-05,4284.58086453359,0.0317228893220024,1.22692541404508,0.00160385274024018,0.00698683764597679,6.65487628822675e-05,0.0923961472597598
67,2.34277261095056,52.5008465924007,0.449326660154254,0.255883151298741,0.722745613834355,0.0856199697526519,30.4806682571511,44.5328914670256,0.254886283501953,0.122608149601499,0.00212224545792152,2.4631769050859,0.17067654882479,0.0167488360415167,5.80550871227204e-05,4284.58086453359,0.0479260602230098,1.22692541404508,0.0015945323183073,0.00556832171329445,0.000167460312761947,0.0924054676816927
13,2.70706051235542,328.246760538084,0.0936656837083645,2.48580165369943,0.514634042576557,0.0866547503451151,22.7035142842602,74.6629715299601,0.201837375049724,0.044278208099835,0.0142203055375231,5.1090676858532,0.171335247452281,0.168514980904196,0.000120254833403132,4284.58086453359,0.0466855345316426,1.22692540730051,0.00154845124282254,0.00749011473123575,0.00168231485648281,0.0924515487571775
52,2.42213447704814,112.398891059964,1.10690332995627,2.30026731678422,0.281607663120959,0.107112886051606,11.7957426258976,74.6075518843384,0.116421927406555,0.0651468378997544,0.00240150974814912,4.50780050480883,0.175349251300568,0.0639487766401623,0.00010612021140343,4284.58086453359,0.0201253443342324,1.22692541685136,0.00148733920111517,0.0146477241256968,0.000639079083146188,0.0925126607988848
54,0.641307918377641,165.213631691647,1.15939136214409,1.13657482169116,0.549487167972566,0.0766506804410898,15.1247865945581,311.122914247347,0.127020271758443,0.0809714959927479,0.0070684124505657,1.44458568298315,0.191640275090177,0.0658531486577823,3.41099884631517e-05,4284.58086453359,0.0415487271090677,1.22692541685136,0.00147932323180892,0.0125120745668129,0.000658098108252281,0.0925206767681911
26,1.52313411645785,139.168046855909,0.0624757303876985,0.304625395634749,3.38081265738314,1.5482990964762,9.04282262066267,46.9037955294666,0.0887028615058815,0.0371230558848032,0.00152464273068079,9.39968519447864,0.168608392791335,0.089720824175336,0.000221118905605539,4284.58086453359,0.216716354040775,1.22692541453602,0.00135626494830419,0.0183042561514133,0.000896403980713923,0.0926437350516958
14,0.770617821431031,53.4633075527265,0.0824881662000128,1.01084592395825,4.0537447923714,0.380973311022271,16.3075446780007,52.2178184209606,0.130456295551943,0.0287178728112734,0.00585789522224872,1.29260527895243,0.170133207347131,0.362618052623271,3.05372247344686e-05,4284.58086453359,0.263433865538377,1.22692542059373,0.00132561605106772,0.0103250718050761,0.00361307885006686,0.0926743839489323
53,0.707056474401738,249.185846509722,0.13246059822887,0.426520982618444,2.0389710400071,0.287807524043548,7.7772007530964,59.0321306787921,0.0736635667102343,0.0325720939751043,0.00911498786445281,4.22709941546939,0.171661751125533,0.0806744121919924,9.9521474733675e-05,4284.58086453359,0.138076800844046,1.22692541685136,0.00130303074552129,0.0215957630458895,0.000806093810476605,0.0926969692544787
45,1.50466178625479,92.361416053552,1.1780169923576,0.21801036034628,2.55931778467815,0.543428150018096,9.89906249222484,39.1994793849343,0.0503116316949615,0.0583182515785285,0.00777646215920836,0.946958192213998,0.314404409369746,0.0506128261768818,2.24117339328423e-05,4284.5808645336,0.169943532772575,1.22692540877398,0.00129910458095675,0.03078331896495,0.000505872225538628,0.0927008954190432
30,3.20176661496575,406.470482774611,0.253511986340474,0.710098995818588,0.253520541542561,0.0917725853263712,24.0522591273631,114.384758816633,0.170768982708637,0.136039135572288,0.00700127671110787,2.04694150698728,0.172455429301154,0.023708364762077,4.82702024198273e-05,4284.58086453359,0.022994122608447,1.22692541404508,0.00123857524639451,0.00711898705339798,0.000237027452287795,0.0927614247536055
1,4.10937758626692,432.559064817229,0.143675495955089,1.6852791173982,1.57816254493436,0.339307028705511,23.8298202226165,43.8191014955933,0.162259217259411,0.0827951460085791,0.00599362472941571,4.31078749129523,0.170466406866101,0.244156068277177,0.000101488818630241,4284.58086453359,0.105891264052449,1.22692541173552,0.00123211415448704,0.00710268212616661,0.00243561398343142,0.092767885845513
18,0.719200705518269,138.450536557167,1.7755683494576,0.519750756788414,0.450766620345301,0.130319357977974,13.7842377233319,186.711571504205,0.0913597647901429,0.0226133423477425,0.00584471847483434,6.16900982419238,0.19804326252602,0.0247422725388548,0.000145172011517661,4284.58086453359,0.0341284561913939,1.22692541404508,0.00117906357874172,0.0141638737432273,0.000247361522526489,0.0928209364212583
47,2.39846298744729,68.6258541585009,0.0741962424134697,0.137140139597677,3.82094385346215,0.13894324699986,36.2599662991485,263.903384741864,0.207797404115105,0.0302696214607654,0.00120747739772432,0.561656378196085,0.168818672817061,0.0455519699709539,1.33540376066228e-05,4284.58086453359,0.244470017918234,1.22692541404508,0.0011624101606873,0.00463421091170014,0.000455312295989196,0.0928375898393127
