"arm","start_day","duration_days","V_peak","t_V_peak","K_peak","t_K_peak","L_peak","T_end_frac","mortality_prob","rebound","placebo_mortality","placebo_K_peak","RRR"
"ribavirin",4,10,34182581.7725451,3,33.8454808658823,4,105.356463323538,7.68565063341937e-07,0.0706578940607386,FALSE,0.0962672365568919,53.043994152707,26.6023451094067
"ribavirin",4,15,34182581.7725451,3,33.8454808658823,4,105.356463323538,7.98987837513012e-07,0.0706497296368425,FALSE,0.0962672365568919,53.043994152707,26.6108261089534
"ribavirin",4,21,34182581.7725451,3,33.8454808658823,4,105.356463323538,3.66655197418428e-06,0.0706481089036119,FALSE,0.0962672365568919,53.043994152707,26.6125096861377
"ribavirin",4,28,34182581.7725451,3,33.8454808658823,4,105.356463323538,2.99480366928573e-05,0.0706478107375239,FALSE,0.0962672365568919,53.043994152707,26.61281941362
"ribavirin",4,35,34182581.7725451,3,33.8454808658823,4,105.356463323538,0.000244515479488369,0.0706477519882483,FALSE,0.0962672365568919,53.043994152707,26.6128804408995
"favipiravir",1,10,34657443.9142418,16,51.231879730524,20,175.693206850712,0.557831735996573,0.0942232549989326,TRUE,0.0962672365568919,53.043994152707,2.12323697143973
"favipiravir",1,15,33310092.5900096,20.9,48.2151836435409,24.8,164.943199464492,0.639237910829503,0.0920942237110025,TRUE,0.0962672365568919,53.043994152707,4.33482147731869
"favipiravir",1,21,30844095.6508465,27,43.6371927485044,30.8,148.864058038439,0.717716659927863,0.0885860567985859,TRUE,0.0962672365568919,53.043994152707,7.97901761080114
"favipiravir",1,28,27467721.120393,34.4,37.8437860071644,38.1,128.6837014798,0.81789868100979,0.0815077043011098,TRUE,0.0962672365568919,53.043994152707,15.3318333253074
"favipiravir",1,35,14515581.0414262,1,6.16935432460691,2.7,19.5685742346065,0.941651181640158,0.0285618207212538,FALSE,0.0962672365568919,53.043994152707,70.330694281045
"favipiravir",2,10,30569299.1990995,2,21.7448302962772,20.4,73.867189279734,0.114505016233182,0.0669898852295808,FALSE,0.0962672365568919,53.043994152707,30.4125810342637
"favipiravir",2,15,30569299.1990995,2,23.3371070126492,26.1,79.1776475903587,0.286565804329386,0.069223195932093,FALSE,0.0962672365568919,53.043994152707,28.0926736780445
"favipiravir",2,21,30569299.1990995,2,17.4387962047571,3.4,55.5267174307275,0.645660084015807,0.0516180976052951,FALSE,0.0962672365568919,53.043994152707,46.3804099385465
"favipiravir",2,28,30569299.1990995,2,17.4387962047571,3.4,55.5267174307275,0.935048864499611,0.0516075778474222,FALSE,0.0962672365568919,53.043994152707,46.3913376001779
