"time","C_pro","P","PLT","treatment_day","arm"
2,0.282670317867499,42.0225744769811,221.78660680242,1,"favipiravir"
2.5,0.285872713699719,35.4096728886821,214.930819845025,1,"favipiravir"
3,0.285284175823352,29.6966019862781,209.924741327069,1,"favipiravir"
3.5,0.284092241403,25.2248685102068,206.329302953808,1,"favipiravir"
4,0.282962998087634,21.8088429161545,203.77440509155,1,"favipiravir"
4.5,0.281968209939342,19.2078030899702,201.98428079472,1,"favipiravir"
5,0.2810548487459,17.2207965348797,200.758451468383,1,"favipiravir"
5.5,0.280159985554011,15.6951685639946,199.950949407944,1,"favipiravir"
6,0.279234682043646,14.5176142093817,199.454561168625,1,"favipiravir"
6.5,0.278244731016935,13.6040485004172,199.189782066223,1,"favipiravir"
7,0.277166750199608,12.891597942002,199.097181600822,1,"favipiravir"
7.5,0.275984464860397,12.3328155140661,199.132082152312,1,"favipiravir"
8,0.274686085651223,11.8915920280019,199.260788517394,1,"favipiravir"
8.5,0.273262655848982,11.540254918504,199.457867454587,1,"favipiravir"
9,0.271707069267638,11.2574812334656,199.704151544747,1,"favipiravir"
9.5,0.270013508720693,11.0267721732979,199.985253389803,1,"favipiravir"
10,0.268177134558416,10.8353214647708,200.290446772097,1,"favipiravir"
10.5,0.266193916350497,10.6731654648076,200.611816444541,1,"favipiravir"
11,0.264060543350721,10.5325386284611,200.943607528554,1,"favipiravir"
11.5,0.261774375917207,10.4073810992216,201.28172502529,1,"favipiravir"
12,0.259333416060793,10.2929604381855,201.623347290255,1,"favipiravir"
12.5,0.256736284792462,10.1855798356041,201.966626663366,1,"favipiravir"
13,0.253982199545855,10.0823523254609,202.310457130485,1,"favipiravir"
13.5,0.25107094825342,9.98102563660175,202.654293765166,1,"favipiravir"
14,0.248002858598416,9.87984603484661,202.998012307061,1,"favipiravir"
14.5,0.244778762102476,9.77745226598464,203.341799937957,1,"favipiravir"
15,0.241399953362624,9.67279277797379,203.686070363526,1,"favipiravir"
15.5,0.237868145111729,9.56506096931624,204.031397869985,1,"favipiravir"
16,0.23418541995471,9.45364440912369,204.37846622184,1,"favipiravir"
16.5,0.230873551929163,9.56359709167292,204.715089274782,1,"favipiravir"
17,0.230702739160455,10.5496332123703,204.934123197918,1,"favipiravir"
17.5,0.237773807403822,13.2949819851499,204.786312146666,1,"favipiravir"
18,0.257565144192212,19.3575531479186,203.805615932407,1,"favipiravir"
18.5,0.294939045016371,31.4475843875184,201.158068188416,1,"favipiravir"
19,0.345714636265722,53.1695905393635,195.51767765962,1,"favipiravir"
19.5,0.389086298754752,86.390896331202,185.35708133418,1,"favipiravir"
20,0.405580229009108,127.580939809177,170.016886194167,1,"favipiravir"
20.5,0.398819906390516,169.248848040054,150.6786226901,1,"favipiravir"
21,0.381847143294223,205.251336929207,129.870415381937,1,"favipiravir"
0,0.0394620415268602,6.345027023202,248.397468750573,2,"favipiravir"
0.5,0.09232752936646,15.7199265145483,245.964099865072,2,"favipiravir"
1,0.184474873601713,35.8713166465112,240.29394380649,2,"favipiravir"
1.5,0.288714486859763,70.7087330059199,228.82315761938,2,"favipiravir"
2,0.354311611317968,116.159619163564,209.946335351102,2,"favipiravir"
2.5,0.372129438212275,128.420094212257,187.275544639978,2,"favipiravir"
3,0.368933370602314,110.570325282077,169.465825985676,2,"favipiravir"
3.5,0.361670477327145,90.2691046401588,157.450108233156,2,"favipiravir"
4,0.353501962182228,73.1317444875235,149.794217725244,2,"favipiravir"
4.5,0.345012779757759,59.5785869794421,145.192381755846,2,"favipiravir"
5,0.336330687618427,49.0226258813167,142.721992870195,2,"favipiravir"
5.5,0.327488657209944,40.8090275194528,141.754214962639,2,"favipiravir"
6,0.318500268414502,34.3951598562651,141.856244334281,2,"favipiravir"
6.5,0.309377356833496,29.3608857835917,142.724140888379,2,"favipiravir"
7,0.300133784336321,25.3862112703125,144.140098213064,2,"favipiravir"
7.5,0.290785679349373,22.2276331816675,145.945359956611,2,"favipiravir"
8,0.281350887446213,19.6991902792813,148.022721769593,2,"favipiravir"
8.5,0.271848361493051,17.6582689767441,150.284915521823,2,"favipiravir"
9,0.262297653003723,15.9951124313631,152.666670464885,2,"favipiravir"
9.5,0.25271851224584,14.625033138219,155.119132944303,2,"favipiravir"
10,0.243130571696841,13.4825776889046,157.60584356891,2,"favipiravir"
10.5,0.233553087349468,12.5171121678048,160.099773949871,2,"favipiravir"
11,0.224004718795128,11.6894551584108,162.581105329026,2,"favipiravir"
11.5,0.214503334984001,10.9692935505901,165.035540557707,2,"favipiravir"
12,0.205065836852882,10.3331898350831,167.45300846888,2,"favipiravir"
12.5,0.195707990892636,9.76304022010147,169.82666258285,2,"favipiravir"
13,0.186444269687639,9.24487857415233,172.152104058848,2,"favipiravir"
13.5,0.17728769690094,8.76794688427711,174.426777568899,2,"favipiravir"
14,0.168249695373844,8.32397178253675,176.649501724268,2,"favipiravir"
14.5,0.159339938124727,7.90660077205456,178.820104879164,2,"favipiravir"
15,0.150566203159609,7.51096242318639,180.939143830727,2,"favipiravir"
15.5,0.141934234177458,7.13332292669419,183.007687917285,2,"favipiravir"
16,0.133447610449058,6.77081762591708,185.027154793902,2,"favipiravir"
16.5,0.125107630309377,6.42124096468646,186.999187067356,2,"favipiravir"
17,0.116913213731864,6.08288201960441,188.925561226593,2,"favipiravir"
17.5,0.10897766132021,5.86135187073918,190.802367127111,2,"favipiravir"
18,0.101938596348729,6.03851191849779,192.58504047997,2,"favipiravir"
18.5,0.0967964456231612,6.91973665016857,194.17610695872,2,"favipiravir"
19,0.0950387761660808,8.95121531733109,195.411565548208,2,"favipiravir"
19.5,0.0987095040404339,12.8057991926504,196.028747979366,2,"favipiravir"
20,0.109829894432877,19.3862653318274,195.631078282571,2,"favipiravir"
20.5,0.128690838704879,29.6327516539388,193.683150329982,2,"favipiravir"
21,0.15170698970194,43.9883727148359,189.598210693563,2,"favipiravir"
0,0.0394620415268602,6.345027023202,248.397468750573,3,"favipiravir"
0.5,0.09232752936646,15.7199265145483,245.964099865072,3,"favipiravir"
1,0.184474873601713,35.8713166465112,240.29394380649,3,"favipiravir"
1.5,0.288714486859763,70.7087330059199,228.82315761938,3,"favipiravir"
2,0.354311611317968,116.159619163564,209.946335351102,3,"favipiravir"
2.5,0.375134824792166,162.174374096385,185.045795248604,3,"favipiravir"
3,0.374733058246063,201.568024317873,157.763963463123,3,"favipiravir"
3.5,0.367735775634922,198.960686766811,133.220339835244,3,"favipiravir"
4,0.359046556172966,166.362139859954,116.683433268537,3,"favipiravir"
4.5,0.349910706525496,133.859479594997,106.921064892304,3,"favipiravir"
5,0.340522301130523,107.049080774962,101.731030708723,3,"favipiravir"
5.5,0.330923914595154,85.9135897144677,99.5576374402511,3,"favipiravir"
6,0.321135865847108,69.4314544256971,99.4075140600986,3,"favipiravir"
6.5,0.311175199904117,56.5885560545816,100.641915049523,3,"favipiravir"
7,0.301059117722086,46.5576570020987,102.836876717398,3,"favipiravir"
7.5,0.290805548241176,38.6957194710222,105.700949514811,3,"favipiravir"
8,0.280433077252695,32.5087217015176,109.027395540898,3,"favipiravir"
8.5,0.269960732899222,27.6174198752282,112.665835570867,3,"favipiravir"
9,0.259407757171078,23.7300164769502,116.504879404335,3,"favipiravir"
9.5,0.24879339693684,20.6213958180701,120.461076094765,3,"favipiravir"
10,0.238136721245824,18.1174975346556,124.471596556589,3,"favipiravir"
10.5,0.227456464290611,16.0835189131004,128.489188838859,3,"favipiravir"
11,0.216770891726924,14.4149500239206,132.478565970538,3,"favipiravir"
