"time","T","I","V","NSs","F_I","NK","F_II","C_pro","C_anti","P","PLT","K","L","CD8_N","CD8_E","CD4","IgM","IgG","C_RBV","C_FAV_gut","C_FAV","C_FAVI_RTP","Hgb_drop","arm","sample_id"
6.75,0.00121244117238688,5.6006342136783e-09,15860.8056528254,16866.2639813947,3.04010269951818e-07,0.228327538907042,0.0175312630960562,7.67021743858513e-06,0.000207137906873581,0.803599762654376,14360.2410587856,0.45018391693943,3.24002836557906,59.3464840736059,65.2271027406352,1.00617651210814,0.424796445184266,0.0600113122024124,268.157223510298,0,0,0,2.5286070439066,"ribavirin",18
7,0.00132369618576254,3.1090328247325e-09,8075.7404208075,13533.3098603993,1.21578285590378e-07,0.195035188834338,0.0152593603368323,5.7914704279508e-06,0.000181162698274211,0.636600938958197,14764.3225520556,0.41525650810486,2.8451078049717,56.9344047291177,65.3432010247609,0.978393333632998,0.422275781798041,0.0610339588327001,275.962447398301,0,0,0,2.77394306748752,"ribavirin",18
7.33333333333333,0.0014810473964729,1.41009719388582e-09,3283.3318336752,10090.6126464606,3.58217132077786e-08,0.158071125995221,0.0125887296096745,4.54747528374355e-06,0.000151522994157691,0.47823707582875,15294.7982213208,0.376947480418234,2.39082844108882,53.8701068616813,65.386435457058,0.942538787488563,0.418938148604633,0.0623498392212425,275.719910291708,0,0,0,3.101654898188,"ribavirin",18
7.5,0.00156373523992885,9.54333099885891e-10,2093.5180034331,8713.13193039707,1.94442646795182e-08,0.14230571207114,0.0114079327661205,4.09973159373713e-06,0.00013857441206666,0.419855317910068,15555.8742663298,0.3608187409402,2.19143933984988,52.4003711915893,65.3632824239766,0.925107292847725,0.417279237720918,0.0629878192671046,275.996800701936,0,0,0,3.25909251284046,"ribavirin",18
7.66666666666667,0.00164920205239797,6.2929739061893e-10,1334.86039039505,7523.69262433537,1.05544762958864e-08,0.128112680574996,0.010325873450946,3.7118383559562e-06,0.000126732327175519,0.37214279880262,15813.9090736012,0.346439129405607,2.00859778703336,50.9707342505004,65.3120035661356,0.90799817962061,0.415626895790623,0.0636127623778836,261.669095873414,0,0,0,3.40613089109325,"ribavirin",18
8,0.00182882103695896,2.89678531203784e-10,542.682832895943,5609.76351733893,3.10976083911347e-09,0.103832112371567,0.00843722101638057,3.04298986043935e-06,0.000105997542264667,0.301381131166965,16320.2972460088,0.322207871274944,1.68726267443966,48.2274103645077,65.129975069899,0.874723359006742,0.41234181484765,0.0648243367910375,249.03924363053,0,0,0,3.68958287759279,"ribavirin",18
8.33333333333333,0.00202064900467575,1.30699685799991e-10,220.620581593543,4182.71297054447,9.16257032617523e-10,0.0841533212030099,0.00687614076116016,2.49072742738123e-06,8.86550994381129e-05,0.254227957757976,16813.1604707795,0.302999284689977,1.41730476668709,45.6317364200865,64.8497566567172,0.842667939168618,0.409082698915391,0.0659861425687075,237.686651324876,0,0,0,3.95400092893126,"ribavirin",18
8.5,0.00212139294805993,8.78937511087778e-11,140.66702020674,3611.72618664528,4.97350403755965e-10,0.0757601884406458,0.00620316604332225,2.24978246268003e-06,8.10788352078514e-05,0.236905105270697,17054.3815729214,0.294949304560705,1.29900828327751,44.3867678346802,64.6755943177373,0.827083475306144,0.407462813632012,0.0665488680525731,239.937946167018,0,0,0,4.0820779031619,"ribavirin",18
8.66666666666667,0.00222549901850467,5.88445019804282e-11,89.6883757768876,3118.68543785963,2.69965103945315e-10,0.0682041548335069,0.00559404625221338,2.03462537394222e-06,7.41499998842222e-05,0.222728550848232,17292.0933397883,0.28779045509794,1.19063026053905,43.1757656687595,64.4801315929098,0.811787233518393,0.405849342768527,0.0670997306745695,227.482149356389,0,0,0,4.20117575615305,"ribavirin",18
9,0.00244424746336823,2.86247230892418e-11,36.4600261155933,2325.33260767676,7.95422634764118e-11,0.0552777557652851,0.00454556229526693,1.65943903191286e-06,6.20180446165472e-05,0.201549171517683,17756.9667513534,0.275754157781966,1.0003776859208,40.85197906828,64.0292970712459,0.782038193067378,0.402641542803824,0.068166622253917,218.309631078516,0,0,0,4.43271884496624,"ribavirin",18
9.33333333333333,0.00267783387724553,4.48975692084663e-12,14.8213906159512,1733.79837287947,2.34362584192281e-11,0.04480123373845,0.0036905810712444,1.3518945914793e-06,5.18709795746268e-05,0.187139652205784,18207.8400140002,0.266226059366424,0.840744729960206,38.653262262885,63.5048994264373,0.753379346414939,0.399459097027312,0.0691883080475136,210.064731738676,0,0,0,4.6500805547924,"ribavirin",18
9.5,0.00280050272096375,7.87605523480597e-12,9.44978161302269,1497.11563538945,1.27213575639322e-11,0.0403329287774241,0.00332469693824823,1.21854074434113e-06,4.74381164650989e-05,0.1817038342739,18428.0808365306,0.262230671578132,0.770845376039803,37.5986870699093,63.217361496883,0.73944620305761,0.397877319273568,0.0696826561922439,213.749951570889,0,0,0,4.75629546471741,"ribavirin",18
9.66666666666667,0.00292726319829941,-1.33958375975289e-11,6.02493747533145,1292.74271914292,6.90523786234648e-12,0.0363102755667056,0.00299474453266933,1.10044027456301e-06,4.33840698336162e-05,0.177148459546689,18644.8982839795,0.258675698377625,0.706834489559928,36.5728838024318,62.9140673363706,0.72577074193576,0.396301805041563,0.0701662478910779,202.653641014345,0,0,0,4.85456638786526,"ribavirin",18
10,0.00319360927651659,3.01471336929443e-12,2.44910919427001,963.885860689565,2.0345526494627e-12,0.0294285670621392,0.00242917744426115,8.95215034086294e-07,3.62857072354482e-05,0.170023579106246,19068.4087231863,0.252681503649636,0.594520687409745,34.6044745338302,62.2634431212116,0.699173892085719,0.393169468033077,0.0711018702978362,195.992035641433,0,0,0,5.04735161333768,"ribavirin",18
10.3333333333333,0.00347801913003056,-8.04750954391046e-13,0.995534329169848,718.685890777613,5.99458861330625e-13,0.0238511150318784,0.00196990543325686,7.2793117075827e-07,3.03487186597612e-05,0.164743829412627,19478.6901151353,0.247909739394397,0.500330703778532,32.7420081017339,61.5592122464699,0.673551719749031,0.390061888759758,0.0719965721213496,190.004119992034,0,0,0,5.22949441272242,"ribavirin",18
10.5,0.00362737758875418,-4.94502687269503e-13,0.634713283004532,620.577283128132,3.25390641690801e-13,0.0214722953703097,0.0017738120598325,6.55498079646123e-07,2.77550839043904e-05,0.16257641665461,19678.9783708376,0.24589580771831,0.459097995533631,31.8487093866882,61.188809224746,0.661094923960342,0.388517322062409,0.0724290056084466,194.730737848394,0,0,0,5.31931535582845,"ribavirin",18
10.6666666666667,0.00378171771960143,-3.55517553933673e-13,0.404666455744094,535.861589609573,1.7662538105411e-13,0.0193307301384781,0.00159718018875163,5.91697057022632e-07,2.53830964601158e-05,0.160639416031799,19876.0919934316,0.24409704681536,0.421344869547308,30.9797824985384,60.8071311306219,0.648868506550771,0.386978871538496,0.0728517182956312,184.62176366447,0,0,0,5.40194769647507,"ribavirin",18
11,0.00410601315050622,1.08414409675589e-11,0.164486961385496,399.545402331302,5.20410333797049e-14,0.0156670716334381,0.00129481967664157,4.80822492205824e-07,2.12299183078316e-05,0.157272661930812,20260.9804194271,0.24103614993179,0.355110290425117,29.3124026075708,60.012553351556,0.625089843064421,0.38392022223285,0.073668641649344,179.783726304132,0,0,0,5.56556972570018,"ribavirin",18
11.3333333333333,0.00445230227373413,-1.2115415659048e-11,0.0668589279170961,297.906272118747,1.53343433110015e-14,0.0126977683624704,0.00104961067628071,3.90631456585131e-07,1.7756261747218e-05,0.154358968805327,20633.7283713355,0.238564267343919,0.299567453336172,27.7347636856815,59.1804543418521,0.602182580843502,0.380885748240823,0.0744486427907896,175.434960805031,0,0,0,5.72113366020289,"ribavirin",18
11.5,0.00463415672111315,-4.4587834155146e-11,0.0426256601229173,257.238756837475,8.32405981726771e-15,0.0114313411564436,0.000944991261381811,3.5156273786995e-07,1.62387635627374e-05,0.153011681477063,20815.6664856082,0.237506139255518,0.275251873360653,26.9780773921878,58.7517915529374,0.591045699717639,0.379377517216091,0.0748251951483813,180.91790124822,0,0,0,5.79855316933402,"ribavirin",18
11.6666666666667,0.00482207668796278,-3.37311807537199e-11,0.027175739745765,222.12280878169,4.51906487673012e-15,0.0102912225835282,0.00085078970065402,3.17293611512872e-07,1.48509507275295e-05,0.151714537409281,20994.7093129475,0.236553790992031,0.252987947610723,26.2420357349981,58.3154546570891,0.580114786211968,0.377875258482752,0.0751929900602145,171.52598699189,0,0,0,5.86933614109817,"ribavirin",18
